cohort,sample,n,volume_um3_mean,volume_um3_median,volume_um3_sd,volume_um3_cv_pct,equivalent_diameter_um_mean,equivalent_diameter_um_median,equivalent_diameter_um_sd,equivalent_diameter_um_cv_pct,surface_area_um2_mean,surface_area_um2_median,surface_area_um2_sd,surface_area_um2_cv_pct,sphericity_mean,sphericity_median,sphericity_sd,sphericity_cv_pct,elongation_mean,elongation_median,elongation_sd,elongation_cv_pct,flatness_mean,flatness_median,flatness_sd,flatness_cv_pct,aspect_ratio_mean,aspect_ratio_median,aspect_ratio_sd,aspect_ratio_cv_pct,mesh_solidity_mean,mesh_solidity_median,mesh_solidity_sd,mesh_solidity_cv_pct,reference_cells,foreground_dice,f1
all_predictions,X001,6,1095.6226183284646,1140.178422797289,263.3402664006414,24.035672684670033,12.717669801097822,12.959224174126973,1.0623064619711364,8.352996095868408,642.8757603574377,632.2001091112219,97.22900399048045,15.124073730268087,0.7938830851188671,0.786456364263066,0.03625260655862161,4.5664918724390695,1.370039104512735,1.3539419638724675,0.07281467209241754,5.314787866461275,1.2328149587317014,1.228416288983592,0.0838624223825548,6.802514991287176,1.6878107472526398,1.7193952976387694,0.12401096799684326,7.347445097070513,0.8673016396288705,0.8631647159761118,0.053542118683134396,6.173413750958173,4,0.8207501635686935,0.8
all_predictions,X003,6,1148.7065184125956,1157.542184689438,234.5376684398564,20.41754483677566,12.941240094008705,13.024517377477785,0.90897164198617,7.0238372473051385,676.8436388529185,650.7804028280677,87.61094781810831,12.944045387881173,0.7807554868448355,0.7735005354779312,0.049223091979391065,6.304546405214502,1.3178799164865447,1.271411508098521,0.14740948170584833,11.185350035444854,1.2419489440401608,1.2188926907228295,0.09740547768710607,7.842953460730692,1.6282343169153197,1.6368239428383213,0.11950731908222319,7.339688019143896,0.8361817893989846,0.8311218147812204,0.076953282801085,9.202936942264202,4,0.7933208052565504,0.8
all_predictions,X005,6,1162.5262274547772,1189.983899239142,253.10809498540112,21.772248144418498,12.985498528593112,13.144740392399214,0.9747975579226289,7.50681659064684,664.5403773524685,650.1866275543289,87.6560981817572,13.190484907926807,0.7996770837335266,0.7985805758439084,0.032330256457072166,4.0429139604862625,1.30063767364064,1.2933722255390259,0.09656881463957653,7.424728392594449,1.3087232167044736,1.3334884496301527,0.09204514338779721,7.033201689473977,1.698786835368966,1.731355714960918,0.12358693803114386,7.275011523402909,0.8852950785327686,0.8818012914715421,0.04039560996992946,4.562954313140265,4,0.7970688994918184,0.8
all_predictions,X007,6,1179.7431942584662,1215.0439179119903,252.13004099457748,21.371603771196593,13.051083005395165,13.235629496615037,0.9656867229435642,7.399284201505427,664.252850835179,654.7306309585202,93.52155248300623,14.079209801722287,0.8090531627850002,0.8095510867948257,0.033158582413097576,4.098442962506436,1.3241088722670178,1.2900849677551371,0.10564725417823728,7.978743771828803,1.2667201548877516,1.2774858436469039,0.05628311677209775,4.443216329583481,1.6747609946249897,1.6759179433784075,0.11464027698598023,6.845172377068068,0.8885360962890115,0.9027659735346885,0.049265565874963974,5.5445767572890485,4,0.8002048504946329,0.8
all_predictions,X009,6,1221.6287261657765,1246.7726277463162,241.26048375696826,19.749084037520326,13.211777571734077,13.352213889607564,0.9100022469922124,6.887810834320401,688.1397675992421,667.3138652343878,84.67209791768757,12.304491311857854,0.7997182401385025,0.793819502373211,0.04383105706114471,5.480812473847495,1.32432602221591,1.3423133537475211,0.124386520912658,9.39243953724703,1.223131192769465,1.2178928739974744,0.0791912109698229,6.474465816746513,1.6155386928925426,1.6602263262177113,0.12782563141001463,7.912260595947047,0.8577606633996498,0.8484604001460069,0.06717534822021459,7.831479232676831,4,0.795517697569996,0.8
all_predictions,X011,6,1256.2444060731527,1270.847022253789,226.95084513177966,18.065819360835746,13.344782681319709,13.43600695904629,0.8296309094928165,6.216893368028767,696.9105730318279,675.470508675378,79.71286880680934,11.438034073730268,0.8050787241249265,0.7983677578200863,0.03276220252968671,4.069440856892263,1.323025869770285,1.2883931233733485,0.1240900506603678,9.379261093504798,1.2523731626762293,1.2409562811708499,0.0915874847306758,7.3131146099426205,1.650660351901678,1.646500199760459,0.11113332895982635,6.732658770884807,0.8810636796037036,0.8778680926672446,0.03701646206054984,4.201337873466716,4,0.7893490412935025,0.8
all_predictions,X013,6,1261.8855316154088,1301.569137195816,247.8088579132748,19.637982345042115,13.356498742197926,13.544441548874062,0.9083728266202613,6.800980138233298,689.3540366252095,670.4693106630413,90.0719949892388,13.0661445648732,0.8161514874849659,0.8014405908141427,0.03494779741262432,4.28202336802922,1.2841858241009587,1.2668623185809968,0.07392703760359128,5.756724316385178,1.2672529599992468,1.2393401569245746,0.08786737822943552,6.933688932120367,1.627282381490115,1.6670984795728239,0.14140415139398213,8.68958903521694,0.8964153499123403,0.8827712086330902,0.031795834196597324,3.546997962463116,4,0.7994198556772115,0.8
all_predictions,X015,6,1276.6419331268128,1321.5122984994803,257.5579551606037,20.174643216503185,13.405495028667493,13.612759677314711,0.9371617878265163,6.990877888674807,698.4442304643416,674.3891409521025,90.80094700706525,13.000457738293395,0.8114564236245873,0.7950639437542522,0.04238002143662787,5.222710696814275,1.2762430951506278,1.2793732523066512,0.11260428204446932,8.823106073782853,1.272072245283909,1.2865264526824376,0.07265883089141714,5.711847826315925,1.6199261431349965,1.6633613557439142,0.12169247818589346,7.512223856723832,0.8865700076408504,0.8752848685560272,0.04096646954831387,4.620782250160373,4,0.7981326480088652,0.8
all_predictions,X017,6,1302.9741758996497,1339.0647969339357,255.45205342975646,19.60530439932759,13.499453471366449,13.673422134376214,0.923534321369603,6.841271932441576,704.9166254039125,683.2191756580451,97.26638637168345,13.798282359413848,0.8159753186671356,0.7969382235687289,0.03422449002227195,4.194304562811574,1.287189932730642,1.2754246883689575,0.11881340056062675,9.230448245394234,1.2313070751239754,1.2334788754445625,0.08725731100788751,7.0865597031595,1.580961848235752,1.642053921938992,0.1338794943202159,8.468230556582784,0.8945886617292923,0.8951799291548885,0.04014099879093244,4.487090045757738,4,0.7968878082667593,0.8
all_predictions,X019,6,1336.6531633378038,1358.232041341453,241.21679038884963,18.046326227702828,13.623470165918896,13.738572489879553,0.8491048719620987,6.232662175062113,718.2823699495351,685.3506913135748,95.33098281419315,13.272076108577034,0.8157199132424428,0.7977494099560549,0.039084093725972595,4.791361972593684,1.263659674047232,1.2266806288538559,0.15224912943229718,12.048270001738345,1.2560798871561245,1.2753170148927184,0.11495659396379905,9.152012952302812,1.5779575105987138,1.6328105499159582,0.1445778131092627,9.162338791645062,0.8861877570248436,0.8928765137409496,0.054504471369966605,6.150442830868246,4,0.7904518677427044,0.8
