level,method,queries,top1_accuracy,mean_rank_percentile,mean_candidate_spearman,median_candidates,mean_top1_arrangement_distance
neighborhood,raw_student,49,0.6938775510204082,0.8603498542274053,0.6170553935860059,4.0,0.14174870868210318
neighborhood,volume_baseline,49,0.5306122448979592,0.7674927113702624,0.5620991253644315,4.0,0.18245525385272698
organoid,raw_student,8,0.625,0.9166666666666667,0.8526785714285716,7.0,0.037112017722429946
organoid,volume_baseline,8,0.375,0.8541666666666667,0.8392857142857145,7.0,0.04372705239045104
