cohort,feature,n,mean,sd,median,q25,q75,min,max
all_predictions,volume_um3,1088,1539.910854662222,625.6599065261391,1489.5717040594855,1265.027645532688,1931.697539774682,0.0838829076915423,3342.2305740618117
all_predictions,equivalent_diameter_um,1088,13.879487886268858,2.7227095435971886,14.169489611647808,13.418391489757719,15.451838367396288,0.5431147755171285,18.550086046420827
all_predictions,surface_area_um2,1088,771.7874516593087,234.9854578125993,781.3225659436266,685.6528587448278,920.1215674374051,0.4181716578356098,1376.0590886280122
all_predictions,sphericity,1088,0.814484017559707,0.077499143513344,0.8207584288946833,0.7911700249207045,0.8488050737961832,0.3878133003737478,2.2160446887358765
all_predictions,elongation,1088,1.2526064859575958,0.2747968977607008,1.2123702506502387,1.129747242592045,1.3144298312071268,1.0082540381095697,7.552774589757108
all_predictions,flatness,1088,1.2299378420933327,0.17107112014773287,1.197750266037406,1.1156655658764745,1.2985809839602327,1.000117366953034,2.5163038990044733
all_predictions,aspect_ratio,1088,1.544660776578397,0.5207294409204729,1.4715770379233057,1.349154699305347,1.637673188591707,1.0548915025147174,14.645528380381796
all_predictions,mesh_solidity,1088,0.8736314399190299,0.07938453412984113,0.8937600154122787,0.8464940644071461,0.9232989496754366,0.1990950226244344,0.9999999999999996
matched_predictions,volume_um3,743,1767.9702969002672,441.47415508235315,1634.0809832850898,1412.9656386101842,2067.315230784983,1094.0428235669406,3342.2305740618117
matched_predictions,equivalent_diameter_um,743,14.905551343772519,1.196121458542461,14.613637084509469,13.922298191025735,15.805297998204932,12.7843474847131,18.550086046420827
matched_predictions,surface_area_um2,743,859.3829028335302,132.13502427328962,834.0777514820795,753.7574530157436,962.424641960733,625.5440082943148,1259.228217521109
matched_predictions,sphericity,743,0.8175877595772436,0.04239035325007285,0.8213333354006938,0.7951668356592071,0.849023741865882,0.5707533829868648,0.9049951400222211
matched_predictions,elongation,743,1.2457053870876171,0.148604423728424,1.2218802018810255,1.1412751353114952,1.3160957289552158,1.0082540381095697,2.3967191863076107
matched_predictions,flatness,743,1.2087405579436896,0.12925216191360292,1.1817805177116654,1.1120244026064143,1.2881819953677178,1.0042546279811837,1.8242354796932367
matched_predictions,aspect_ratio,743,1.50223443444876,0.21900160389442608,1.4632671439332636,1.36843166804035,1.605865519108237,1.0548915025147174,3.130347386031016
matched_predictions,mesh_solidity,743,0.8772456142054993,0.05925012207217677,0.8890052727569493,0.8483157583631113,0.9225505782223962,0.5839087510532897,0.9604198524443518
unmatched_predictions,volume_um3,345,1048.7567515234741,679.9061658531814,1061.0768408441645,541.2125204258309,1345.1463077415724,0.0838829076915423,3073.5955621796475
unmatched_predictions,equivalent_diameter_um,345,11.66973383141315,3.6287099360777244,12.654628625144856,10.110898195022408,13.695891301170668,0.5431147755171285,18.039148457758465
unmatched_predictions,surface_area_um2,345,583.1398568116377,290.78998435957425,618.5030906666914,392.7152019892797,718.5316657253187,0.4181716578356098,1376.0590886280122
unmatched_predictions,sphericity,345,0.8077997267799105,0.12262566472969037,0.820176130603953,0.7765232264939367,0.8476880127663681,0.3878133003737478,2.2160446887358765
unmatched_predictions,elongation,345,1.2674688525094628,0.4366415590427004,1.1891005730367334,1.0979526696632682,1.3009287220472605,1.009795975755382,7.552774589757108
unmatched_predictions,flatness,345,1.27558880476923,0.23104060410108757,1.2450014638667628,1.1282614827638098,1.316776660418967,1.000117366953034,2.5163038990044733
unmatched_predictions,aspect_ratio,345,1.6360311307880218,0.8608824074713782,1.5268250974447384,1.284671810293628,1.7106873075018345,1.0594314588986578,14.645528380381796
unmatched_predictions,mesh_solidity,345,0.8658478703687499,0.1106891086819871,0.902016984077843,0.8412742098904953,0.9237583835975556,0.1990950226244344,0.9999999999999996
all_shape_qc,volume_um3,985,1590.2893364926115,602.6856555796783,1525.200969101468,1306.9795847419207,1975.9457735819703,0.3774730846119403,3342.2305740618117
all_shape_qc,equivalent_diameter_um,985,14.101792254576267,2.508136515335926,14.281576484872064,13.565112312383796,15.568931214587275,0.8966627382786474,18.550086046420827
all_shape_qc,surface_area_um2,985,790.448980524586,222.74002095800859,792.9619117390682,704.8776508075603,928.1728788923174,2.69393871669073,1376.0590886280122
all_shape_qc,sphericity,985,0.8138202442724938,0.05402251659846568,0.820275742587668,0.7919722907231372,0.8484853177216464,0.3878133003737478,0.9376060606855888
all_shape_qc,elongation,985,1.2423456940069777,0.15371620953944673,1.2166767008299215,1.136724587194714,1.3143693084352406,1.0082540381095697,2.84692353401395
all_shape_qc,flatness,985,1.2245308871845357,0.15808053596216018,1.194557062156211,1.1165583163436856,1.2950295976528052,1.0042546279811837,2.5163038990044733
all_shape_qc,aspect_ratio,985,1.5193194158028627,0.26481362839958533,1.4796749685518735,1.355339507703959,1.6310108665819851,1.0548915025147174,4.122704476979531
